Date,portfolio,Mkt-RF,SMB,HML,RF
1985-03,0.00835638815548334,-0.84,-1.07,4.07,0.62
1985-04,-0.011049769897690576,-0.96,0.15,3.72,0.72
1985-05,0.01955325115012352,5.09,-2.22,-0.94,0.66
1985-06,0.006392563065109602,1.27,0.52,0.41,0.55
1985-07,0.01088915063502749,-0.74,2.85,-1.6,0.62
1985-08,0.018851253857532058,-1.02,-0.31,2.28,0.55
1985-09,-0.05022074042890601,-4.54,-1.59,1.29,0.6
1985-10,0.05380361658435007,4.02,-1.51,0.75,0.65
1985-11,0.052817128223794585,6.48,0.25,-2.84,0.61
1985-12,0.016722792210019266,3.88,-0.51,-1.54,0.65
1986-01,0.03001500457816353,0.65,1.21,0.44,0.56
1986-02,0.00489009364965054,7.13,-0.56,-0.77,0.53
1986-03,0.05474815457475901,4.88,-0.58,-0.37,0.6
1986-04,-0.018633772800000448,-1.31,2.78,-2.86,0.52
1986-05,0.025316751109368596,4.62,-1.35,-0.21,0.49
1986-06,-0.004629590693783547,1.03,-0.95,1.3,0.52
1986-07,-0.0736431245237118,-6.45,-3.36,4.7,0.52
1986-08,0.06527164588804335,6.07,-4.17,3.51,0.46
1986-09,-0.059701511295835896,-8.6,2.36,3.22,0.45
1986-10,0.06683388329643702,4.66,-2.5,-1.42,0.46
1986-11,0.0,1.17,-1.91,-0.07,0.39
1986-12,-0.11589694558606978,-3.27,0.13,0.36,0.49
1987-01,0.15747175781626077,12.47,-1.81,-3.16,0.42
1987-02,0.027089699357970343,4.39,3.49,-5.91,0.43
1987-03,0.016578756525091,1.64,0.45,1.61,0.47
1987-04,0.0022241203610566807,-2.11,-1.69,-0.39,0.44
1987-05,0.00887564164073118,0.11,-0.5,0.23,0.38
1987-06,0.036656816463682906,3.94,-2.12,1.04,0.48
1987-07,0.04879785311736229,3.85,-0.66,0.73,0.46
1987-08,0.03641244374543806,3.52,-0.77,-0.95,0.47
1987-09,-0.020168927641639578,-2.59,0.56,0.3,0.45
1987-10,-0.2888448426476735,-23.24,-8.4,4.23,0.6
1987-11,-0.055088459692608116,-7.77,2.75,2.96,0.35
1987-12,0.059288768071945164,6.81,0.12,-4.39,0.39
1988-01,0.06436552977815535,4.21,-0.76,4.95,0.29
1988-02,0.04557346870394974,4.75,3.34,-1.69,0.46
1988-03,0.0016770499235809755,-2.27,6.14,0.74,0.44
1988-04,0.020083211579795535,0.56,0.98,1.63,0.46
1988-05,-0.013945567445154738,-0.29,-2.61,2.42,0.51
1988-06,0.048252591572571335,4.79,2.1,-1.22,0.49
1988-07,0.007143036488836074,-1.25,-0.26,2.17,0.51
1988-08,-0.0220644580654229,-3.31,0.04,2.1,0.59
1988-09,0.0410958194762463,3.3,-1.3,-0.75,0.62
1988-10,0.026315312227610965,1.15,-2.92,1.69,0.61
1988-11,-0.007541213295439775,-2.29,-1.71,1.3,0.57
1988-12,-0.03875374282002464,1.49,1.97,-1.61,0.63
1989-01,0.09359423963306512,6.1,-2.22,0.62,0.55
1989-02,-0.005930023464820855,-2.25,2.82,0.93,0.61
1989-03,0.05294558890642076,1.57,0.67,0.54,0.67
1989-04,0.0644473152391336,4.33,-0.68,-1.4,0.67
1989-05,0.05189653879609124,3.35,-0.05,-0.87,0.79
1989-06,-0.005692603670267471,-1.35,-1.02,2.23,0.71
1989-07,0.09096684992237525,7.2,-4.16,-2.79,0.7
1989-08,0.02857155705958081,1.44,0.56,0.6,0.74
1989-09,0.019274255463895607,-0.76,0.32,-1.27,0.65
1989-10,-0.030033608146597612,-3.67,-3.24,-1.11,0.68
1989-11,0.022935962895960893,1.03,-1.24,-1.09,0.69
1989-12,-0.059417174366739434,1.16,-2.37,0.16,0.61
1990-01,0.021676131871849247,-7.85,-1.25,0.85,0.57
1990-02,0.020767384731797955,1.11,0.97,0.64,0.57
1990-03,0.0221950199673977,1.83,1.46,-2.92,0.64
1990-04,-0.01085606362411895,-3.36,-0.45,-2.59,0.69
1990-05,0.09451167518509496,8.42,-2.56,-3.83,0.68
1990-06,0.01281351418541643,-1.09,1.36,-1.93,0.63
1990-07,-0.0187017652888104,-1.9,-3.09,-0.04,0.68
1990-08,-0.07791468579020111,-10.15,-3.56,1.6,0.66
1990-09,-0.04194541773441274,-6.12,-3.67,0.61,0.6
1990-10,0.0050760598191266215,-1.92,-5.53,0.0,0.68
1990-11,0.05934349232209035,6.35,0.45,-2.97,0.57
1990-12,0.03396904658774291,2.46,0.82,-1.63,0.6
1991-01,0.10312545386188177,4.69,3.83,-1.57,0.52
1991-02,0.07563041060259601,7.19,3.99,-0.63,0.48
1991-03,0.05859345905297575,2.65,3.9,-1.3,0.44
1991-04,0.005534889979967206,-0.28,0.48,1.45,0.53
1991-05,0.06376168696087303,3.65,-0.4,-0.49,0.47
1991-06,-0.05605866818401606,-4.94,0.15,1.07,0.42
1991-07,0.07080871183710391,4.24,-0.92,-1.32,0.49
1991-08,0.050341088219359564,2.32,1.59,-0.78,0.46
1991-09,0.0028432705424563665,-1.59,1.64,-1.07,0.46
1991-10,0.028756628887638636,1.29,0.81,-0.46,0.42
1991-11,-0.0527559257385225,-4.19,-0.5,-1.88,0.39
1991-12,0.06400667043420483,10.84,-2.24,-4.18,0.38
1992-01,0.08000763089258656,-0.59,8.46,4.7,0.34
1992-02,0.007595510713071185,1.09,0.87,6.47,0.28
1992-03,-0.0032399794148444405,-2.66,-1.04,3.55,0.34
1992-04,0.010848738137273939,1.07,-6.06,4.32,0.32
1992-05,0.010731926127956593,0.3,0.41,1.19,0.28
1992-06,-0.024270166980027152,-2.34,-3.07,3.25,0.32
1992-07,0.02487385970859246,3.77,-0.51,-0.55,0.31
1992-08,-0.018202609568560124,-2.38,-0.14,-1.08,0.26
1992-09,0.016994755790861182,1.19,0.49,-0.23,0.26
1992-10,0.022407707660979215,1.02,2.1,-1.98,0.23
1992-11,0.04829152342859433,4.13,3.79,-1.42,0.23
1992-12,-0.026577061656000378,1.53,1.67,2.65,0.28
1993-01,0.0878607863211831,0.93,1.85,5.95,0.23
1993-02,-0.003175651905020671,0.12,-3.49,6.44,0.22
1993-03,0.05801352215398525,2.3,0.23,1.19,0.25
1993-04,0.006756747545667796,-3.05,-0.68,2.48,0.24
1993-05,0.03959687642244747,2.89,2.08,-3.5,0.22
1993-06,0.0003228236630345993,0.31,-0.26,2.72,0.25
1993-07,0.010971360599156377,-0.34,0.9,2.82,0.24
1993-08,0.04851576865766272,3.71,0.14,0.14,0.25
1993-09,0.0021308438873146596,-0.12,2.98,-0.35,0.26
1993-10,0.008809051600830564,1.41,2.03,-2.78,0.22
1993-11,-0.03763883867701867,-1.89,-1.13,-0.66,0.25
1993-12,-0.03504397553864913,1.65,1.2,0.27,0.23
1994-01,0.10525073576487087,2.87,0.51,1.28,0.25
1994-02,-0.014146769063716147,-2.55,2.8,-1.56,0.21
1994-03,-0.03289621720243463,-4.78,-1.14,1.55,0.27
1994-04,0.012284257336537596,0.68,-0.92,1.66,0.27
1994-05,-0.005575633463689056,0.58,-2.12,0.7,0.31
1994-06,-0.0392477937905813,-3.03,-0.4,1.67,0.31
1994-07,0.020940482325267906,2.82,-1.76,0.57,0.28
1994-08,0.04169452979787169,4.01,1.43,-2.5,0.37
1994-09,-0.013234390359820325,-2.31,3.11,-1.84,0.37
1994-10,0.028459632585135397,1.34,-2.26,-1.63,0.38
1994-11,-0.04548314830460043,-4.04,0.31,-0.73,0.37
1994-12,0.008996804227312083,0.86,0.19,-0.09,0.44
1995-01,-0.016182405226800922,1.8,-3.44,2.51,0.42
1995-02,0.04028163081112468,3.63,-0.66,1.09,0.4
1995-03,0.036463917711435645,2.19,-0.21,-2.08,0.46
1995-04,0.0451429802823744,2.11,-0.49,1.7,0.44
1995-05,0.024128509419654165,2.9,-2.52,2.27,0.54
1995-06,0.0634090326389869,2.72,3.15,-2.54,0.47
1995-07,0.07658647320711598,3.72,2.06,-1.59,0.45
1995-08,0.013211458472509596,0.55,1.36,2.81,0.47
1995-09,0.018304715353481438,3.35,-2.2,-0.05,0.43
1995-10,-0.01822184701860352,-1.52,-3.8,-0.51,0.47
1995-11,0.02633559045250422,3.96,-1.11,0.58,0.42
1995-12,-0.07087019721950616,1.03,0.72,0.18,0.49
1996-01,0.11028864184292031,2.26,-2.73,0.4,0.43
1996-02,-0.04552505929584283,1.33,1.78,-1.07,0.39
1996-03,0.08320477025831452,0.73,1.51,0.36,0.39
1996-04,0.030938778507375364,2.06,5.22,-4.05,0.46
1996-05,0.008392959854814475,2.36,3.19,-0.89,0.42
1996-06,-0.00781864690633971,-1.14,-3.99,2.38,0.4
1996-07,-0.04651769596387756,-5.97,-4.31,5.14,0.45
1996-08,0.038123413431812914,2.77,2.46,-0.74,0.41
1996-09,0.041088494964453215,5.01,-0.98,-2.7,0.44
1996-10,0.03206716955025368,0.86,-4.44,4.94,0.42
1996-11,0.05807854085366282,6.25,-4.05,1.39,0.41
1996-12,-0.04788799181330983,-1.7,3.17,1.32,0.46
1997-01,0.0842184930316805,4.99,-1.94,-1.46,0.45
1997-02,-0.04224736131406015,-0.49,-3.2,5.69,0.39
1997-03,-0.009651901333464719,-5.03,-0.35,3.4,0.43
1997-04,0.02252097171315559,4.04,-5.78,0.07,0.43
1997-05,0.06009110102507664,6.74,5.19,-4.12,0.49
1997-06,0.04132821031691036,4.1,1.24,1.59,0.37
1997-07,0.08479669574123072,7.33,-2.73,0.29,0.43
1997-08,-0.032786888351864496,-4.15,7.31,1.2,0.41
1997-09,0.06676331693373805,5.35,2.53,0.38,0.44
1997-10,-0.03042015075385185,-3.8,-0.77,2.25,0.42
1997-11,-0.0015985286831782242,2.98,-5.13,1.19,0.39
1997-12,-0.06665386251470695,1.32,-2.47,3.86,0.48
1998-01,0.09088922904108476,0.15,-1.06,-1.59,0.43
1998-02,0.06967718809669887,7.04,0.34,-0.85,0.39
1998-03,0.05261071533135042,4.76,-1.11,1.41,0.39
1998-04,0.011285544945277781,0.73,0.02,0.9,0.43
1998-05,-0.02118443740544451,-3.07,-3.35,3.4,0.4
1998-06,0.05526619490079643,3.18,-3.23,-1.96,0.41
1998-07,0.003295914322384741,-2.46,-4.91,-1.76,0.4
1998-08,-0.14801987345776202,-16.08,-5.68,3.6,0.43
1998-09,0.06062571230020852,6.15,0.1,-3.37,0.46
1998-10,0.033326859910142614,7.13,-3.12,-2.29,0.32
1998-11,0.06684889082436185,6.1,1.2,-3.23,0.31
1998-12,0.03829282152931812,6.16,-0.51,-4.18,0.38
1999-01,0.14438025512329444,3.5,0.78,-4.62,0.35
1999-02,-0.04442615554376561,-4.08,-6.06,1.88,0.35
1999-03,0.04635019503701643,3.45,-3.77,-2.77,0.43
1999-04,0.02098708174800379,4.33,3.95,2.41,0.37
1999-05,-0.020720379054030902,-2.46,3.37,2.3,0.34
1999-06,0.05507990730496437,4.77,3.14,-3.27,0.4
1999-07,-0.015438589524704449,-3.49,2.6,-0.42,0.38
1999-08,-0.02909776106846007,-1.38,-0.94,-1.84,0.39
1999-09,-0.002497793321543207,-2.79,3.44,-3.48,0.39
1999-10,0.0367219246865198,6.12,-6.61,-3.37,0.39
1999-11,0.040572801827635896,3.37,7.22,-6.16,0.36
1999-12,-0.07132881412859826,7.72,6.99,-8.32,0.44
2000-01,0.1331375785006732,-4.74,5.79,-1.89,0.41
2000-02,0.020714791082133477,2.45,21.48,-9.81,0.43
2000-03,0.07158236182512101,5.2,-17.29,8.23,0.47
2000-04,-0.0647146855419034,-6.4,-6.63,7.25,0.46
2000-05,-0.03840185446624367,-4.42,-6.11,4.83,0.5
2000-06,0.03867608427582869,4.64,12.8,-8.41,0.4
2000-07,-0.021475639080378306,-2.51,-3.08,8.33,0.48
2000-08,0.05309730170161098,7.03,-0.63,-1.37,0.5
2000-09,-0.01865528347591361,-5.45,-1.73,7.17,0.51
2000-10,-0.02500399978517054,-2.76,-3.93,5.64,0.56
2000-11,-0.0728970632780569,-10.72,-3.39,12.34,0.51
2000-12,-0.0683970133666496,1.19,0.73,7.6,0.5
2001-01,0.06469598784857711,3.13,6.68,-5.11,0.54
2001-02,-0.04658035546400463,-10.05,-0.74,12.48,0.38
2001-03,-0.05174339495061153,-7.26,0.27,6.43,0.42
2001-04,0.04824337148918589,7.94,0.56,-4.7,0.39
2001-05,0.0129581773639591,0.72,2.5,3.36,0.32
2001-06,-0.025584427962003442,-1.94,6.27,-1.13,0.28
2001-07,-0.005432321829544118,-2.13,-4.19,5.21,0.3
2001-08,-0.03004103001419045,-6.46,2.48,2.3,0.31
2001-09,-0.05466922636059901,-9.25,-6.25,1.46,0.28
2001-10,0.007942368488939477,2.46,7.49,-7.66,0.22
2001-11,0.03422825780864991,7.54,-0.47,2.22,0.17
2001-12,0.018333318915497054,1.6,4.73,0.85,0.15
2002-01,-0.0004951448164548511,-1.44,1.19,3.44,0.14
2002-02,0.0011753236511540255,-2.29,-1.0,2.16,0.13
2002-03,0.03334895483784783,4.24,4.21,1.07,0.13
2002-04,0.0009093982147378998,-5.2,5.96,3.88,0.15
2002-05,0.003860001204253116,-1.38,-3.21,1.53,0.14
2002-06,-0.0413935458966207,-7.21,4.28,-0.03,0.13
2002-07,-0.01628395482235656,-8.18,-5.26,-3.86,0.15
2002-08,0.008865173251453973,0.5,-2.87,3.31,0.14
2002-09,-0.04092372451583526,-10.35,2.43,1.44,0.14
2002-10,0.023559860053147474,7.84,-3.41,-3.95,0.14
2002-11,-0.004347646687149376,5.96,3.23,-1.27,0.12
2002-12,-0.008476609592563356,-5.76,0.11,2.13,0.11
2003-01,-0.029320227331837034,-2.57,1.3,-0.73,0.1
2003-02,-0.012560399496922003,-1.88,-0.46,-1.38,0.09
2003-03,0.02219221411450545,1.09,1.04,-1.93,0.1
2003-04,0.04712771133464422,8.22,0.67,1.17,0.1
2003-05,0.04879851187983708,6.05,4.71,0.53,0.09
2003-06,0.018081287055859985,1.42,1.74,0.19,0.1
2003-07,0.026521430922789024,2.35,5.11,-1.19,0.07
2003-08,0.0316031252510911,2.34,2.62,1.54,0.07
